,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Aaron Holiday,23,09/30/96,"Ruston, LA",UCLA,1,83305275d4dadbb2ee85003cba53cd23,B,https://a.espncdn.com/i/headshots/nba/players/full/3922230.png,72.0,3922230,3,Aaron Holiday,PG,2329200.0,indiana-pacers,s:40~l:46~a:3922230,185.0,108.0,26.0,18.6,2.8,7.0,40.5,1.1,3.1,37.3,1.0,1.1,84.4,0.2,1.6,1.8,2.6,0.2,0.6,1.6,1.1,7.8
Alize Johnson,23,04/22/96,"Williamsport, PA",Missouri State,1,e0895f863fdb91f94d0fc6c6c0f5241f,,https://a.espncdn.com/i/headshots/nba/players/full/4067045.png,79.0,4067045,24,Alize Johnson,PF,1416852.0,indiana-pacers,s:40~l:46~a:4067045,212.0,27.0,0.0,4.4,0.4,1.1,35.5,0.0,0.1,50.0,0.3,0.5,57.1,0.4,1.0,1.4,0.1,0.1,0.0,0.5,0.1,1.1
Domantas Sabonis,23,05/03/96,"Portland, OR",Gonzaga,3,c2eb1a1778092cc63fa77a5e63654ae4,,https://a.espncdn.com/i/headshots/nba/players/full/3155942.png,83.0,3155942,11,Domantas Sabonis,PF,3529555.0,indiana-pacers,s:40~l:46~a:3155942,240.0,291.0,152.0,25.6,4.8,9.2,52.2,0.3,1.0,32.1,2.2,3.0,72.2,2.0,6.0,8.0,2.6,0.4,0.6,2.9,1.9,12.1
Doug McDermott,28,01/03/92,"Grand Forks, ND",Creighton,5,a0c3d73548472320d1115b2d023b4bed,,https://a.espncdn.com/i/headshots/nba/players/full/2528588.png,79.0,2528588,20,Doug McDermott,SF,7333333.0,indiana-pacers,s:40~l:46~a:2528588,225.0,403.0,14.0,20.0,3.1,6.6,46.5,1.2,3.0,41.3,0.8,1.0,82.5,0.4,1.8,2.2,0.8,0.1,0.2,1.4,0.6,8.2
Edmond Sumner,24,12/31/95,"Detroit, MI",Xavier,2,1c24a71c12d57354ba17a5001e496258,,https://a.espncdn.com/i/headshots/nba/players/full/3136485.png,76.0,3136485,5,Edmond Sumner,PG,2000000.0,indiana-pacers,s:40~l:46~a:3136485,196.0,49.0,4.0,11.4,1.4,3.6,39.8,0.3,1.3,26.2,0.5,0.8,64.1,0.4,0.9,1.3,1.0,0.3,0.6,1.3,0.6,3.7
Goga Bitadze,20,07/20/99,,,0,da823cfca5b0d5e844c819017b7cd254,,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,83.0,4348700,88,Goga Bitadze,C,2816760.0,indiana-pacers,s:40~l:46~a:4348700,250.0,49.0,2.0,8.4,1.2,2.6,47.3,0.1,0.7,16.7,0.5,0.7,72.7,0.4,1.5,2.0,0.4,0.7,0.1,1.2,0.5,3.1
JaKarr Sampson,27,03/20/93,"Cleveland, OH",St. John's,4,ad113c624ca260de61c7150368291ca4,,https://a.espncdn.com/i/headshots/nba/players/full/2608891.png,79.0,2608891,14,JaKarr Sampson,SF,1620564.0,indiana-pacers,s:40~l:46~a:2608891,214.0,199.0,88.0,15.6,2.0,4.4,46.3,0.3,1.1,25.1,0.9,1.4,66.3,0.6,2.0,2.6,0.7,0.5,0.4,1.9,0.8,5.3
Jeremy Lamb,27,05/30/92,,Connecticut,7,56d5d9aeef2af6d59d68827057b3d555,,https://a.espncdn.com/i/headshots/nba/players/full/6603.png,77.0,6603,26,Jeremy Lamb,SG,10500000.0,indiana-pacers,s:40~l:46~a:6603,180.0,481.0,128.0,21.2,3.9,8.8,44.4,1.0,3.0,33.9,1.6,1.9,85.1,0.5,3.2,3.7,1.6,0.4,0.7,1.6,0.8,10.5
Justin Holiday,30,04/05/89,"Mission Hills, CA",Washington,6,83420c020109914a7f116ec5cecf426b,,https://a.espncdn.com/i/headshots/nba/players/full/2284101.png,78.0,2284101,8,Justin Holiday,SF,4767000.0,indiana-pacers,s:40~l:46~a:2284101,180.0,422.0,164.0,23.0,2.9,7.2,39.7,1.5,4.0,36.2,1.0,1.2,82.6,0.4,2.5,2.9,1.4,0.4,1.0,1.5,0.9,8.2
Malcolm Brogdon,27,12/11/92,"Atlanta, GA",Virginia,3,db29ba54f3bd2b6aebaebe0633291ab0,,https://a.espncdn.com/i/headshots/nba/players/full/2566769.png,77.0,2566769,7,Malcolm Brogdon,PG,20000000.0,indiana-pacers,s:40~l:46~a:2566769,229.0,235.0,160.0,28.6,5.1,10.8,47.2,1.3,3.4,38.5,2.0,2.2,89.5,0.7,3.0,3.8,4.3,0.2,0.9,1.9,1.6,13.5
Myles Turner,24,03/24/96,"Bedford, TX",Texas,4,a61d70b4d54433c83eb9aa6e5074f97e,,https://a.espncdn.com/i/headshots/nba/players/full/3133628.png,83.0,3133628,33,Myles Turner,C,18000000.0,indiana-pacers,s:40~l:46~a:3133628,250.0,335.0,302.0,28.3,4.9,10.0,48.8,0.8,2.1,35.4,2.2,2.9,76.8,1.4,5.2,6.7,1.2,2.1,0.7,2.8,1.3,12.7
Victor Oladipo,27,05/04/92,,Indiana,6,c398807055caf4c7989f435301d61d59,,https://a.espncdn.com/i/headshots/nba/players/full/2527963.png,76.0,2527963,4,Victor Oladipo,SG,21000000.0,indiana-pacers,s:40~l:46~a:2527963,213.0,415.0,355.0,33.0,6.4,14.5,44.1,1.5,4.4,35.0,3.0,3.8,79.3,0.6,4.0,4.6,3.9,0.5,1.7,2.4,2.6,17.4
Brook Lopez,31,04/01/88,"North Hollywood, CA",Stanford,11,3496fbc1fa88c3327f91f015006e0c8b,,https://a.espncdn.com/i/headshots/nba/players/full/3448.png,84.0,3448,11,Brook Lopez,C,12093023.0,milwaukee-bucks,s:40~l:46~a:3448,282.0,778.0,739.0,30.6,6.4,13.0,49.4,0.7,2.0,33.8,3.3,4.1,79.2,2.1,4.3,6.4,1.5,1.8,0.6,2.7,1.8,16.8
Cameron Reynolds,25,02/07/95,"Pearland, TX",Tulane,1,ef7c6f5d0fdbf2df111991c15e43b78f,,https://a.espncdn.com/i/headshots/nba/players/full/3057240.png,79.0,3057240,13,Cameron Reynolds,SG,0.0,milwaukee-bucks,s:40~l:46~a:3057240,225.0,19.0,0.0,13.6,1.7,4.1,42.3,1.1,2.7,41.2,0.4,0.5,88.9,0.2,1.4,1.6,0.7,0.1,0.3,1.4,0.3,5.0
Donte DiVincenzo,23,01/31/97,"Newark, DE",Villanova,1,a74f63531678ff6ecab1ed9cf5300189,,https://a.espncdn.com/i/headshots/nba/players/full/3934673.png,76.0,3934673,0,Donte DiVincenzo,SG,2905800.0,milwaukee-bucks,s:40~l:46~a:3934673,203.0,86.0,22.0,20.6,3.0,6.7,45.0,1.1,3.5,32.2,0.8,1.0,76.7,0.9,3.2,4.1,1.9,0.3,1.1,1.6,1.1,8.0
Eric Bledsoe,30,12/09/89,"Birmingham, AL",Kentucky,9,6ea0d15aaed36cb07413e47e5f04ddcf,,https://a.espncdn.com/i/headshots/nba/players/full/4238.png,73.0,4238,6,Eric Bledsoe,PG,15625000.0,milwaukee-bucks,s:40~l:46~a:4238,214.0,626.0,464.0,27.8,5.1,11.1,45.7,1.1,3.2,33.7,3.0,3.8,79.5,0.8,3.2,4.0,4.8,0.5,1.4,2.1,2.6,14.2
Ersan Ilyasova,32,05/15/87,Turkey,,11,278719503e89f93c1c769634dd8b566a,,https://a.espncdn.com/i/headshots/nba/players/full/2767.png,81.0,2767,7,Ersan Ilyasova,PF,7000000.0,milwaukee-bucks,s:40~l:46~a:2767,235.0,801.0,423.0,23.4,3.9,8.7,44.4,1.1,2.9,36.6,1.5,2.0,77.6,1.7,4.0,5.8,1.1,0.4,0.7,2.4,1.0,10.3
George Hill,33,05/04/86,"Indianapolis, IN",IUPUI,11,abbae422d49b1fd68bde67f49bfa6043,B,https://a.espncdn.com/i/headshots/nba/players/full/3438.png,75.0,3438,3,George Hill,PG,9133907.0,milwaukee-bucks,s:40~l:46~a:3438,188.0,778.0,447.0,27.7,3.9,8.6,45.7,1.2,3.2,38.5,2.0,2.5,80.3,0.6,2.5,3.1,3.2,0.3,0.9,2.0,1.3,11.1
Giannis Antetokounmpo,25,12/06/94,Greece,,6,00985054c4b34247e825ddf062d457c3,,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,83.0,3032977,34,Giannis Antetokounmpo,PF,25842697.0,milwaukee-bucks,s:40~l:46~a:3032977,242.0,522.0,457.0,32.5,7.3,13.9,52.5,0.6,2.0,28.5,4.8,6.6,72.4,1.7,7.2,8.9,4.3,1.3,1.2,3.0,2.8,20.0
Khris Middleton,28,08/12/91,"Charleston, SC",Texas A&M,7,948da849027fed39e7eecc3bb48c620d,,https://a.espncdn.com/i/headshots/nba/players/full/6609.png,79.0,6609,22,Khris Middleton,SF,30603448.0,milwaukee-bucks,s:40~l:46~a:6609,222.0,510.0,435.0,31.5,5.9,13.0,45.8,1.7,4.4,39.2,2.6,3.0,87.4,0.6,4.0,4.6,3.3,0.2,1.3,2.6,1.9,16.3
Kyle Korver,39,03/17/81,"Lakewood, CA",Creighton,16,2fe5c94c8cf1d9bc0648aeec431cb35d,,https://a.espncdn.com/i/headshots/nba/players/full/2011.png,79.0,2011,26,Kyle Korver,SG,1620564.0,milwaukee-bucks,s:40~l:46~a:2011,212.0,1224.0,422.0,25.4,3.3,7.6,44.2,2.0,4.6,42.9,1.1,1.2,87.6,0.3,2.7,3.0,1.7,0.3,0.7,2.1,1.0,9.7
Marvin Williams,33,06/19/86,"Bremerton, WA",North Carolina,14,b7b368bbeacf33e5697de866801cef7b,,https://a.espncdn.com/i/headshots/nba/players/full/2797.png,80.0,2797,20,Marvin Williams,PF,604278.0,milwaukee-bucks,s:40~l:46~a:2797,237.0,1066.0,828.0,28.2,3.7,8.3,44.3,1.0,2.7,36.2,1.9,2.4,80.8,1.2,4.0,5.2,1.3,0.5,0.8,2.0,1.0,10.3
Pat Connaughton,27,01/06/93,"Arlington, MA",Notre Dame,4,d87adcb487364ba7a188250127546a89,,https://a.espncdn.com/i/headshots/nba/players/full/2578239.png,77.0,2578239,24,Pat Connaughton,SG,1723050.0,milwaukee-bucks,s:40~l:46~a:2578239,209.0,277.0,9.0,15.6,1.8,4.1,44.3,0.7,2.2,34.3,0.4,0.5,78.4,0.6,2.1,2.8,1.2,0.3,0.3,1.0,0.5,4.7
Robin Lopez,31,04/01/88,"North Hollywood, CA",Stanford,11,e42d29743d0f4d62b872ce6f536f237a,,https://a.espncdn.com/i/headshots/nba/players/full/3447.png,84.0,3447,42,Robin Lopez,C,4767000.0,milwaukee-bucks,s:40~l:46~a:3447,281.0,826.0,584.0,22.4,3.7,7.0,52.9,0.1,0.2,29.9,1.4,1.9,75.1,2.3,2.8,5.1,0.8,1.2,0.2,2.0,1.1,8.8
Sterling Brown,25,02/10/95,"Maywood, IL",SMU,2,615c98cca85ff2d2a5350bf623868694,,https://a.espncdn.com/i/headshots/nba/players/full/3057187.png,77.0,3057187,23,Sterling Brown,SG,1618520.0,milwaukee-bucks,s:40~l:46~a:3057187,219.0,157.0,12.0,15.8,2.0,4.7,41.8,0.8,2.2,34.4,0.5,0.6,76.2,0.5,2.6,3.1,1.0,0.2,0.5,1.4,0.7,5.2
Thanasis Antetokounmpo,27,07/18/92,Greece,,1,3218b3eec26c996360e165a95d366853,,https://a.espncdn.com/i/headshots/nba/players/full/3102533.png,78.0,3102533,43,Thanasis Antetokounmpo,SF,1445697.0,milwaukee-bucks,s:40~l:46~a:3102533,219.0,20.0,2.0,5.0,1.1,2.0,55.0,0.0,0.4,0.0,0.4,0.8,46.7,0.6,0.5,1.0,0.5,0.1,0.3,0.8,0.6,2.6
Wesley Matthews,33,10/14/86,"San Antonio, TX",Marquette,10,df1a0c3c2479209a1cdbe19ca2cee202,,https://a.espncdn.com/i/headshots/nba/players/full/4032.png,76.0,4032,9,Wesley Matthews,SG,2564753.0,milwaukee-bucks,s:40~l:46~a:4032,220.0,786.0,725.0,31.9,4.5,10.7,42.3,2.1,5.5,38.1,2.1,2.5,82.4,0.5,2.5,3.1,2.2,0.2,1.1,2.2,1.3,13.2
Brandon Goodwin,24,10/02/95,"Columbia, SC",Florida Gulf Coast,1,4ecb729aebab9e028970f52f3007f4a0,,https://a.espncdn.com/i/headshots/nba/players/full/3057198.png,72.0,3057198,0,Brandon Goodwin,PG,522738.0,atlanta-hawks,s:40~l:46~a:3057198,180.0,50.0,1.0,9.7,1.6,4.3,38.5,0.6,1.9,30.1,0.7,0.8,90.2,0.2,1.3,1.5,1.3,0.1,0.2,1.0,0.6,4.6
Bruno Fernando,21,08/15/98,,Maryland,0,465ffa1c3052ed98de645faa61798a6d,,https://a.espncdn.com/i/headshots/nba/players/full/4277952.png,81.0,4277952,24,Bruno Fernando,C,1400000.0,atlanta-hawks,s:40~l:46~a:4277952,240.0,56.0,13.0,12.7,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,1.2,2.3,3.5,0.9,0.3,0.3,1.9,0.8,4.3
Cam Reddish,20,09/01/99,"Norristown, PA",Duke,0,e03c77d2fb3ee0fbc227ee9a35aa1aa9,,https://a.espncdn.com/i/headshots/nba/players/full/4395627.png,80.0,4395627,22,Cam Reddish,SG,4245720.0,atlanta-hawks,s:40~l:46~a:4395627,218.0,58.0,34.0,26.7,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,0.6,3.1,3.7,1.5,0.5,1.1,2.3,1.7,10.5
Clint Capela,25,05/18/94,Switzerland,,5,795d3c2071389c79aecd02ce8fe56558,,https://a.espncdn.com/i/headshots/nba/players/full/3102529.png,82.0,3102529,17,Clint Capela,C,14896552.0,atlanta-hawks,s:40~l:46~a:3102529,240.0,334.0,274.0,26.0,5.3,8.3,63.4,0.0,0.0,0.0,1.6,3.1,52.6,3.3,6.4,9.7,1.0,1.5,0.7,2.5,1.2,12.2
Damian Jones,24,06/30/95,"Baton Rouge, LA",Vanderbilt,3,56efcebd5649df81b4584d4a7ef2f59b,,https://a.espncdn.com/i/headshots/nba/players/full/3064559.png,83.0,3064559,30,Damian Jones,C,2305057.0,atlanta-hawks,s:40~l:46~a:3064559,245.0,104.0,49.0,14.1,1.9,2.8,66.6,0.0,0.1,22.2,0.9,1.3,67.6,1.1,1.9,3.1,0.6,0.7,0.4,2.3,0.5,4.6
Dewayne Dedmon,30,08/12/89,"Lancaster, CA",USC,6,862e6532863f2f630dde554db031adcd,,https://a.espncdn.com/i/headshots/nba/players/full/2580913.png,84.0,2580913,14,Dewayne Dedmon,C,13333333.0,atlanta-hawks,s:40~l:46~a:2580913,245.0,394.0,194.0,18.3,2.5,4.9,51.6,0.4,1.2,33.3,0.9,1.3,73.2,1.6,4.4,6.0,0.7,0.9,0.5,2.6,1.0,6.4
Jeff Teague,31,06/10/88,"Indianapolis, IN",Wake Forest,10,830be2980bf5d81541dfd2cf6411d01b,,https://a.espncdn.com/i/headshots/nba/players/full/4015.png,75.0,4015,00,Jeff Teague,PG,19000000.0,atlanta-hawks,s:40~l:46~a:4015,195.0,771.0,593.0,27.5,4.4,10.0,44.5,0.9,2.4,35.6,2.8,3.3,84.4,0.3,2.1,2.5,5.8,0.3,1.2,1.9,2.3,12.6
John Collins,22,09/23/97,"Layton, UT",Wake Forest,2,796e45a0b375dfdfc240b7550add4966,,https://a.espncdn.com/i/headshots/nba/players/full/3908845.png,81.0,3908845,20,John Collins,PF,2686560.0,atlanta-hawks,s:40~l:46~a:3908845,235.0,176.0,126.0,28.3,6.4,11.3,57.1,0.7,2.0,36.9,2.6,3.4,75.7,2.9,5.9,8.8,1.6,1.1,0.6,3.1,1.7,16.2
Kevin Huerter,21,08/27/98,"Albany, NY",Maryland,1,96dd28ae3e67340195f596693f737892,B,https://a.espncdn.com/i/headshots/nba/players/full/4066372.png,79.0,4066372,3,Kevin Huerter,SG,2636280.0,atlanta-hawks,s:40~l:46~a:4066372,190.0,131.0,107.0,29.1,4.0,9.7,41.6,2.0,5.2,38.3,0.7,0.9,78.3,0.7,2.9,3.6,3.3,0.4,0.9,2.2,1.5,10.8
Skal Labissiere,24,03/18/96,Haiti,Kentucky,3,4f3d86524defcc33363d133f1dc20cd6,,https://a.espncdn.com/i/headshots/nba/players/full/3936296.png,82.0,3936296,7,Skal Labissiere,PF,2338847.0,atlanta-hawks,s:40~l:46~a:3936296,235.0,148.0,43.0,17.5,2.9,5.9,49.2,0.2,0.6,35.3,1.2,1.6,74.8,1.5,3.0,4.5,1.0,0.7,0.4,2.1,1.0,7.2
Trae Young,21,09/19/98,"Lubbock, TX",Oklahoma,1,5745cf6de0cb758560cd97f7891bbeef,,https://a.espncdn.com/i/headshots/nba/players/full/4277905.png,73.0,4277905,11,Trae Young,PG,6273000.0,atlanta-hawks,s:40~l:46~a:4277905,180.0,141.0,141.0,32.8,7.6,17.8,42.8,2.6,7.4,34.4,5.8,6.9,84.7,0.7,3.3,3.9,8.6,0.2,1.0,1.7,4.2,23.6
Treveon Graham,26,10/28/93,"Washington, DC",Virginia Commonwealth,3,6965fb0eaf194944bf9487ebf2d59b87,R,https://a.espncdn.com/i/headshots/nba/players/full/2595231.png,77.0,2595231,2,Treveon Graham,SG,1645357.0,atlanta-hawks,s:40~l:46~a:2595231,219.0,180.0,44.0,16.0,1.5,3.9,38.3,0.7,2.0,33.3,0.6,0.8,69.1,0.7,1.6,2.2,0.8,0.1,0.4,1.7,0.4,4.2
Vince Carter,43,01/26/77,"Daytona Beach, FL",North Carolina,21,b41883b9b15e09c6e17458adb1e38290,,https://a.espncdn.com/i/headshots/nba/players/full/136.png,78.0,136,15,Vince Carter,SG,1620564.0,atlanta-hawks,s:40~l:46~a:136,220.0,1541.0,982.0,30.1,6.0,13.8,43.5,1.5,4.0,37.1,3.1,3.9,79.8,1.1,3.2,4.3,3.1,0.6,1.0,2.6,1.7,16.7
Bismack Biyombo,27,08/28/92,Zaire,,8,c0f396246c78a95d368211303cd9545a,,https://a.espncdn.com/i/headshots/nba/players/full/6427.png,80.0,6427,8,Bismack Biyombo,C,17000000.0,charlotte-hornets,s:40~l:46~a:6427,255.0,636.0,271.0,20.2,1.9,3.7,52.0,0.0,0.0,0.0,1.3,2.2,57.5,2.0,4.3,6.2,0.5,1.3,0.3,2.2,0.9,5.1
Caleb Martin,24,09/28/95,"Mocksville, NC",Nevada,0,c7402e537823fac4b133907d0c303f60,,https://a.espncdn.com/i/headshots/nba/players/full/3138160.png,77.0,3138160,10,Caleb Martin,SF,898310.0,charlotte-hornets,s:40~l:46~a:3138160,205.0,18.0,1.0,17.6,2.1,4.7,44.0,1.1,2.1,54.1,0.9,1.2,81.0,0.6,1.6,2.1,1.3,0.4,0.7,1.8,0.8,6.2
Cody Martin,24,09/28/95,"Mocksville, NC",Nevada,0,28067c7c3d817f8a8924fb5ee35c1f34,,https://a.espncdn.com/i/headshots/nba/players/full/3138161.png,77.0,3138161,11,Cody Martin,SF,1173310.0,charlotte-hornets,s:40~l:46~a:3138161,205.0,48.0,3.0,18.8,1.9,4.3,43.0,0.4,1.6,23.4,0.9,1.4,64.6,0.8,2.5,3.3,2.0,0.2,0.8,1.6,0.9,5.0
Cody Zeller,27,10/05/92,"Washington, IN",Indiana,6,5456b3d07ec621ddc6692f79179b3861,,https://a.espncdn.com/i/headshots/nba/players/full/2579258.png,84.0,2579258,40,Cody Zeller,C,14471910.0,charlotte-hornets,s:40~l:46~a:2579258,240.0,419.0,252.0,22.9,3.2,6.3,51.3,0.1,0.3,24.8,2.1,2.9,73.1,2.0,4.0,6.0,1.4,0.7,0.7,2.6,1.1,8.6
Dwayne Bacon,24,08/30/95,"Lakeland, FL",Florida State,2,a8dd49a2213f4930ffaba75a9dad12eb,,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,78.0,3907821,7,Dwayne Bacon,SG,1618520.0,charlotte-hornets,s:40~l:46~a:3907821,221.0,135.0,30.0,16.0,2.1,5.1,40.3,0.5,1.5,34.5,0.7,0.9,71.8,0.2,2.1,2.3,1.0,0.1,0.4,1.3,0.6,5.3
Jalen McDaniels,22,01/31/98,"Federal Way, WA",San Diego State,0,5bb01361102269a57cfae99047f23120,,https://a.espncdn.com/i/headshots/nba/players/full/4066731.png,82.0,4066731,6,Jalen McDaniels,PF,898310.0,charlotte-hornets,s:40~l:46~a:4066731,205.0,16.0,0.0,18.3,2.1,4.4,47.1,0.6,1.5,37.5,0.9,1.1,82.4,0.9,3.1,4.1,0.8,0.2,0.5,2.3,0.7,5.6
Joe Chealey,24,11/01/95,"Orlando, FL",Charleston,1,2a0b2978eac7e9430f2b84ba38f00f2c,,https://a.espncdn.com/i/headshots/nba/players/full/3058269.png,75.0,3058269,31,Joe Chealey,PG,,charlotte-hornets,s:40~l:46~a:3058269,190.0,5.0,0.0,8.2,0.2,2.0,10.0,0.0,0.8,0.0,0.4,0.4,100.0,0.0,0.0,0.0,0.4,0.0,0.8,0.6,0.4,0.8
Kobi Simmons,22,07/04/97,"Atlanta, GA",Arizona,2,6b04a9da2a1f4bc2ba95f14ea377c88e,,https://a.espncdn.com/i/headshots/nba/players/full/4066335.png,77.0,4066335,23,Kobi Simmons,PG,0.0,charlotte-hornets,s:40~l:46~a:4066335,180.0,33.0,12.0,19.5,2.4,5.7,42.3,0.3,1.2,28.2,0.8,0.8,100.0,0.4,1.1,1.5,2.1,0.2,0.5,1.8,1.3,5.9
Malik Monk,22,02/04/98,"Jonesboro, AR",Kentucky,2,919db74b1f214955fa42446e67f7811c,L,https://a.espncdn.com/i/headshots/nba/players/full/4066262.png,75.0,4066262,1,Malik Monk,SG,4028400.0,charlotte-hornets,s:40~l:46~a:4066262,200.0,191.0,1.0,17.2,3.1,7.8,39.5,1.3,4.1,32.2,1.1,1.3,85.0,0.3,1.6,1.9,1.7,0.2,0.4,1.3,1.1,8.6
Miles Bridges,22,03/21/98,"Flint, MI",Michigan State,1,f288347bfa90b31d965a98e20e1a8294,,https://a.espncdn.com/i/headshots/nba/players/full/4066383.png,78.0,4066383,0,Miles Bridges,SF,3755400.0,charlotte-hornets,s:40~l:46~a:4066383,225.0,145.0,89.0,25.5,3.8,8.7,44.0,1.1,3.4,32.8,1.1,1.4,78.8,1.1,3.7,4.7,1.4,0.7,0.7,1.7,1.0,9.9
Nicolas Batum,31,12/14/88,France,,11,e83378ef622aa88412bb86482f9a84d2,,https://a.espncdn.com/i/headshots/nba/players/full/3416.png,81.0,3416,5,Nicolas Batum,SG,25565217.0,charlotte-hornets,s:40~l:46~a:3416,230.0,789.0,714.0,31.3,4.1,9.5,43.4,1.6,4.4,35.7,1.8,2.1,84.1,1.1,4.2,5.2,3.8,0.6,0.9,1.8,1.8,11.6
PJ Washington,21,08/23/98,,Kentucky,0,a2ef18dcdcbaf71be39ce794921f8193,,https://a.espncdn.com/i/headshots/nba/players/full/4278078.png,79.0,4278078,25,PJ Washington,PF,3831840.0,charlotte-hornets,s:40~l:46~a:4278078,230.0,58.0,57.0,30.3,4.6,10.2,45.5,1.5,4.0,37.4,1.5,2.3,64.7,1.0,4.4,5.4,2.1,0.8,0.9,2.7,1.6,12.2
Ray Spalding,23,03/11/97,"Louisville, KY",Louisville,1,0155a5c21c02295979d5e2021d6bda97,,https://a.espncdn.com/i/headshots/nba/players/full/3908806.png,82.0,3908806,26,Ray Spalding,PF,0.0,charlotte-hornets,s:40~l:46~a:3908806,215.0,14.0,3.0,10.6,1.8,3.4,53.2,0.0,0.2,0.0,0.3,0.9,33.3,1.1,2.4,3.4,0.4,0.6,0.6,1.6,0.6,3.9
Terry Rozier,26,03/17/94,"Youngstown, OH",Louisville,4,639066f0013b1e669f7558454a8c43f2,B,https://a.espncdn.com/i/headshots/nba/players/full/3074752.png,73.0,3074752,3,Terry Rozier,PG,19894737.0,charlotte-hornets,s:40~l:46~a:3074752,190.0,335.0,93.0,22.7,3.4,8.7,39.4,1.5,4.1,37.1,1.2,1.5,81.3,0.6,3.1,3.7,2.7,0.2,0.8,1.3,1.1,9.6
Willy Hernangomez,25,05/27/94,Spain,,3,c9306a928d58f03d131cec2ef2a9a417,,https://a.espncdn.com/i/headshots/nba/players/full/2999409.png,83.0,2999409,9,Willy Hernangomez,C,1676735.0,charlotte-hornets,s:40~l:46~a:2999409,250.0,209.0,26.0,14.4,2.7,5.1,53.1,0.1,0.4,33.0,1.4,2.0,68.7,1.9,3.5,5.4,1.0,0.4,0.4,1.6,1.1,6.9
Andre Iguodala,36,01/28/84,"Springfield, IL",Arizona,15,542c1e9a0229a0d689fc9cd962be10cd,,https://a.espncdn.com/i/headshots/nba/players/full/2386.png,78.0,2386,28,Andre Iguodala,SG,17185185.0,miami-heat,s:40~l:46~a:2386,215.0,1122.0,779.0,33.2,4.3,9.3,46.6,0.9,2.7,33.4,2.5,3.5,70.9,0.9,4.1,5.1,4.3,0.5,1.5,1.8,1.9,12.0
Bam Adebayo,22,07/18/97,"Newark, NJ",Kentucky,2,38b3edc557ffd3ff9aa22865f7f01a4c,,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,81.0,4066261,13,Bam Adebayo,PF,3454080.0,miami-heat,s:40~l:46~a:4066261,255.0,216.0,112.0,25.5,4.0,7.2,55.8,0.0,0.2,11.4,2.5,3.5,71.1,2.1,5.6,7.7,2.9,0.9,0.8,2.3,1.7,10.5
Chris Silva,23,09/19/96,,South Carolina,0,94f6384ce3a65444dc546c8499748c81,,https://a.espncdn.com/i/headshots/nba/players/full/3923253.png,80.0,3923253,30,Chris Silva,PF,466918.0,miami-heat,s:40~l:46~a:3923253,234.0,41.0,0.0,7.5,1.0,1.7,62.3,0.0,0.0,0.0,0.8,1.2,69.4,1.3,1.3,2.7,0.5,0.4,0.2,2.0,0.8,2.9
Duncan Robinson,25,04/22/94,"York, ME",Michigan,1,36432468246f8e5e4079cf34dafef796,,https://a.espncdn.com/i/headshots/nba/players/full/3157465.png,79.0,3157465,55,Duncan Robinson,SG,1416852.0,miami-heat,s:40~l:46~a:3157465,215.0,80.0,61.0,26.4,3.8,8.2,46.1,3.2,7.2,43.8,0.7,0.7,88.1,0.1,2.8,2.9,1.2,0.2,0.5,2.4,0.8,11.4
Gabe Vincent,23,06/14/96,"Modesto, CA",UC Santa Barbara,0,82247bd5fd403926f54faf0cc016aa37,R,https://a.espncdn.com/i/headshots/nba/players/full/3137259.png,75.0,3137259,2,Gabe Vincent,PG,0.0,miami-heat,s:40~l:46~a:3137259,200.0,6.0,0.0,7.0,0.7,3.2,21.1,0.7,2.7,25.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.2,0.3,0.0,2.0
Goran Dragic,33,05/06/86,Yugoslavia,,11,a9d23f8adbff7d67bd46651615f1f228,,https://a.espncdn.com/i/headshots/nba/players/full/3423.png,75.0,3423,7,Goran Dragic,PG,19217900.0,miami-heat,s:40~l:46~a:3423,190.0,812.0,509.0,28.0,5.1,11.0,46.4,1.2,3.3,36.4,2.5,3.3,76.3,0.7,2.3,3.1,4.8,0.2,1.0,2.3,2.3,13.9
Jae Crowder,29,07/06/90,"Villa Rica, GA",Marquette,7,9e192487c812d5d0ef90d932072ad833,,https://a.espncdn.com/i/headshots/nba/players/full/6581.png,78.0,6581,99,Jae Crowder,SF,7815533.0,miami-heat,s:40~l:46~a:6581,235.0,601.0,290.0,24.7,3.3,7.9,41.9,1.4,4.2,33.6,1.6,2.0,77.9,0.7,3.4,4.1,1.5,0.3,1.0,2.0,0.9,9.5
