,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight
Solomon Hill,29,03/18/91,"Los Angeles, CA",Arizona,6,150bbb02738c01b0bcd062b6a052c4e3,,https://a.espncdn.com/i/headshots/nba/players/full/2488958.png,"6' 6""",2488958,44,Solomon Hill,SF,"$12,758,781",miami-heat,s:40~l:46~a:2488958,226 lbs
Tyler Herro,20,01/20/00,"Milwaukee, WI",Kentucky,0,1417212dee61bc8b40a530dc9db6d72b,,https://a.espncdn.com/i/headshots/nba/players/full/4395725.png,"6' 5""",4395725,14,Tyler Herro,SG,"$3,640,200",miami-heat,s:40~l:46~a:4395725,195 lbs
Udonis Haslem,39,06/09/80,"Miami, FL",Florida,16,cf71b775619741415c2e921ea60d009d,,https://a.espncdn.com/i/headshots/nba/players/full/2184.png,"6' 8""",2184,40,Udonis Haslem,PF,"$1,620,564",miami-heat,s:40~l:46~a:2184,235 lbs
Aaron Gordon,24,09/16/95,"San Jose, CA",Arizona,5,d6c22a9ffbe31566e175c86137d057a5,,https://a.espncdn.com/i/headshots/nba/players/full/3064290.png,"6' 8""",3064290,00,Aaron Gordon,PF,"$19,863,636",orlando-magic,s:40~l:46~a:3064290,235 lbs
BJ Johnson,24,12/21/95,"Mount Holly, NJ",La Salle,1,543c33c5e9d8eb15672476fe18a4d8f6,,https://a.espncdn.com/i/headshots/nba/players/full/3059280.png,"6' 7""",3059280,13,BJ Johnson,SF,0,orlando-magic,s:40~l:46~a:3059280,200 lbs
Evan Fournier,27,10/29/92,France,,7,a05eed81df72d0ff0ec6f00da4b7757b,,https://a.espncdn.com/i/headshots/nba/players/full/6588.png,"6' 7""",6588,10,Evan Fournier,SG,"$17,150,000",orlando-magic,s:40~l:46~a:6588,205 lbs
Gary Clark,25,11/16/94,"Smithfield, NC",Cincinnati,1,86545aa9f7c6f0ae4e0b5a62f0a28d0c,,https://a.espncdn.com/i/headshots/nba/players/full/3132042.png,"6' 6""",3132042,12,Gary Clark,PF,,orlando-magic,s:40~l:46~a:3132042,225 lbs
Jonathan Isaac,22,10/03/97,"Bronx, NY",Florida State,2,99d3b132e33a2cc78cf9236b06d7c625,L,https://a.espncdn.com/i/headshots/nba/players/full/4065654.png,"6' 11""",4065654,1,Jonathan Isaac,PF,"$5,806,440",orlando-magic,s:40~l:46~a:4065654,230 lbs
Khem Birch,27,09/28/92,Canada,UNLV,2,43829a29a656034b3ade785ff6d2e87e,,https://a.espncdn.com/i/headshots/nba/players/full/2578240.png,"6' 9""",2578240,24,Khem Birch,PF,"$3,000,000",orlando-magic,s:40~l:46~a:2578240,233 lbs
Markelle Fultz,21,05/29/98,"Upper Marlboro, MD",Washington,2,3d85554f4ead77c64d9e8fe5ce01a40a,,https://a.espncdn.com/i/headshots/nba/players/full/4066636.png,"6' 3""",4066636,20,Markelle Fultz,PG,"$9,745,200",orlando-magic,s:40~l:46~a:4066636,209 lbs
Mo Bamba,21,05/12/98,"Harlem, NY",Texas,1,74c0d8a89086966f3f7ad48490abc675,,https://a.espncdn.com/i/headshots/nba/players/full/4277919.png,"7' 0""",4277919,5,Mo Bamba,C,"$5,697,600",orlando-magic,s:40~l:46~a:4277919,231 lbs
Nikola Vucevic,29,10/24/90,Switzerland,USC,8,2c9b229fcbd58e0bcf3a236f74f23867,,https://a.espncdn.com/i/headshots/nba/players/full/6478.png,"6' 11""",6478,9,Nikola Vucevic,C,"$28,000,000",orlando-magic,s:40~l:46~a:6478,260 lbs
Terrence Ross,29,02/05/91,"Portland, OR",Washington,7,528d204e3905fdf2aa6facbf45947309,,https://a.espncdn.com/i/headshots/nba/players/full/6619.png,"6' 6""",6619,31,Terrence Ross,SG,"$12,500,000",orlando-magic,s:40~l:46~a:6619,206 lbs
Vic Law,24,12/19/95,"South Holland, IL",Northwestern,0,eaffe8e171d5760e0e3da1b9bde70f62,,https://a.espncdn.com/i/headshots/nba/players/full/3136746.png,"6' 7""",3136746,23,Vic Law,F,0,orlando-magic,s:40~l:46~a:3136746,200 lbs
Wes Iwundu,25,12/20/94,"Houston, TX",Kansas State,2,16bc361299eb79d171b3be73ac5b42df,,https://a.espncdn.com/i/headshots/nba/players/full/3074797.png,"6' 6""",3074797,25,Wes Iwundu,SF,"$1,618,420",orlando-magic,s:40~l:46~a:3074797,195 lbs
Admiral Schofield,22,03/30/97,England,Tennessee,0,5be403cf4a4d65e906e241f6ef132007,L,https://a.espncdn.com/i/headshots/nba/players/full/3918423.png,"6' 5""",3918423,1,Admiral Schofield,SG,"$1,000,000",washington-wizards,s:40~l:46~a:3918423,241 lbs
Anzejs Pasecniks,24,12/20/95,Latvia,,0,d9e626432521e1da7eee4c1a94a8c9b7,,https://a.espncdn.com/i/headshots/nba/players/full/3893059.png,"7' 1""",3893059,18,Anzejs Pasecniks,C,"$482,144",washington-wizards,s:40~l:46~a:3893059,220 lbs
Bradley Beal,26,06/28/93,,Florida,7,fb35d5ac5ddec5ee98f3c348c244c0ae,B,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,"6' 3""",6580,3,Bradley Beal,SG,"$27,093,019",washington-wizards,s:40~l:46~a:6580,207 lbs
Davis Bertans,27,11/12/92,Latvia,,3,bbe50a531f763f8b66e122c077b6dfba,,https://a.espncdn.com/i/headshots/nba/players/full/6426.png,"6' 10""",6426,42,Davis Bertans,SF,"$7,000,000",washington-wizards,s:40~l:46~a:6426,225 lbs
Garrison Mathews,23,10/24/96,,Lipscomb,0,fdeab1798e3a6206a336412ef2916015,,https://a.espncdn.com/i/headshots/nba/players/full/3913180.png,"6' 5""",3913180,24,Garrison Mathews,SG,0,washington-wizards,s:40~l:46~a:3913180,215 lbs
Ian Mahinmi,33,11/05/86,France,,11,0ad963a997e7f05226ba443e20b1d23f,,https://a.espncdn.com/i/headshots/nba/players/full/2774.png,"6' 11""",2774,28,Ian Mahinmi,C,"$15,450,051",washington-wizards,s:40~l:46~a:2774,262 lbs
Isaac Bonga,20,11/08/99,Germany,,1,6d77fefbb742a1ad19448f66a56120bb,,https://a.espncdn.com/i/headshots/nba/players/full/4348697.png,"6' 8""",4348697,17,Isaac Bonga,SF,"$1,416,842",washington-wizards,s:40~l:46~a:4348697,180 lbs
Ish Smith,31,07/05/88,"Charlotte, NC",Wake Forest,9,70ccf8eafde224a9199da476354af493,,https://a.espncdn.com/i/headshots/nba/players/full/4305.png,"6' 0""",4305,14,Ish Smith,PG,"$6,000,000",washington-wizards,s:40~l:46~a:4305,175 lbs
Jerome Robinson,23,02/22/97,"Raleigh, NC",Boston College,1,6fd43d2575318ff1667094c84ec78f3c,,https://a.espncdn.com/i/headshots/nba/players/full/3943606.png,"6' 4""",3943606,12,Jerome Robinson,SG,"$3,567,720",washington-wizards,s:40~l:46~a:3943606,190 lbs
John Wall,29,09/06/90,"Raleigh, NC",Kentucky,9,cc52762422ecec9cd08152d37b011a64,R,https://a.espncdn.com/i/headshots/nba/players/full/4237.png,"6' 4""",4237,2,John Wall,PG,"$38,199,000",washington-wizards,s:40~l:46~a:4237,210 lbs
Johnathan Williams,24,05/22/95,"Memphis, TN",Gonzaga,1,d5f63a10593f3739f25a09f7e5d58854,,https://a.espncdn.com/i/headshots/nba/players/full/3064528.png,"6' 9""",3064528,19,Johnathan Williams,PF,0,washington-wizards,s:40~l:46~a:3064528,228 lbs
Moritz Wagner,22,04/26/97,Germany,Michigan,1,77dabd3ef33570aab04be579fc0efec4,,https://a.espncdn.com/i/headshots/nba/players/full/3150844.png,"6' 11""",3150844,21,Moritz Wagner,SF,"$2,063,520",washington-wizards,s:40~l:46~a:3150844,245 lbs
Rui Hachimura,22,02/08/98,Japan,Gonzaga,0,40c1bcf6675bf217f97c1d628073f927,,https://a.espncdn.com/i/headshots/nba/players/full/4066648.png,"6' 8""",4066648,8,Rui Hachimura,PF,"$4,469,160",washington-wizards,s:40~l:46~a:4066648,230 lbs
Shabazz Napier,28,07/14/91,"Roxbury, MA",Connecticut,5,ea55f9c9aaf2ecd3e57088077b96fd63,,https://a.espncdn.com/i/headshots/nba/players/full/2530780.png,"6' 0""",2530780,5,Shabazz Napier,PG,"$1,845,301",washington-wizards,s:40~l:46~a:2530780,175 lbs
Thomas Bryant,22,07/31/97,"Rochester, NY",Indiana,2,4b399440a23de7d3e7b3f2db19e9bb2b,,https://a.espncdn.com/i/headshots/nba/players/full/3934723.png,"6' 10""",3934723,13,Thomas Bryant,C,"$8,000,000",washington-wizards,s:40~l:46~a:3934723,248 lbs
Bol Bol,20,11/16/99,Sudan,Oregon,0,ca22763a903c06cfdf6c571ba8c55dae,,https://a.espncdn.com/i/headshots/nba/players/full/4397102.png,"7' 2""",4397102,10,Bol Bol,C,0,denver-nuggets,s:40~l:46~a:4397102,220 lbs
Gary Harris,25,09/14/94,"Fishers, IN",Michigan State,5,80977674266a5c4a16a5f7efe9961fe0,,https://a.espncdn.com/i/headshots/nba/players/full/2999547.png,"6' 4""",2999547,14,Gary Harris,SG,"$17,839,286",denver-nuggets,s:40~l:46~a:2999547,210 lbs
Jamal Murray,23,02/23/97,"Kitchener, ON",Kentucky,3,153b92a9848974e3c5246527eb991e84,,https://a.espncdn.com/i/headshots/nba/players/full/3936299.png,"6' 4""",3936299,27,Jamal Murray,PG,"$4,444,746",denver-nuggets,s:40~l:46~a:3936299,215 lbs
Jerami Grant,26,03/12/94,"Portland, OR",Syracuse,5,dc6db1badc618a7e647a83c10bb9f76f,,https://a.espncdn.com/i/headshots/nba/players/full/2991070.png,"6' 8""",2991070,9,Jerami Grant,PF,"$9,346,153",denver-nuggets,s:40~l:46~a:2991070,210 lbs
Mason Plumlee,30,03/05/90,"Fort Wayne, IN",Duke,6,058a249e89295de15f074f1b4ba96a90,,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png,"6' 11""",2488653,7,Mason Plumlee,PF,"$14,041,096",denver-nuggets,s:40~l:46~a:2488653,254 lbs
Monte Morris,24,06/27/95,"Grand Rapids, MI",Iowa State,2,5f7ea6e5937e1ab007f3f00cd895ee12,,https://a.espncdn.com/i/headshots/nba/players/full/3059310.png,"6' 2""",3059310,11,Monte Morris,PG,"$1,588,231",denver-nuggets,s:40~l:46~a:3059310,183 lbs
Nikola Jokic,25,02/19/95,,,4,22f5751106ae1587f01b33965365ce0d,,https://a.espncdn.com/i/headshots/nba/players/full/3112335.png,"7' 0""",3112335,15,Nikola Jokic,C,"$27,504,630",denver-nuggets,s:40~l:46~a:3112335,284 lbs
Noah Vonleh,24,08/24/95,"Haverhill, MA",Indiana,5,5303c6086f92e5a2564ccbfde6de2c07,,https://a.espncdn.com/i/headshots/nba/players/full/3078284.png,"6' 10""",3078284,32,Noah Vonleh,PF,"$2,000,000",denver-nuggets,s:40~l:46~a:3078284,257 lbs
PJ Dozier,23,10/25/96,"Columbia, SC",South Carolina,2,c12f245c806352dedc58abaf000a2a81,,https://a.espncdn.com/i/headshots/nba/players/full/3923250.png,"6' 6""",3923250,35,PJ Dozier,PG,0,denver-nuggets,s:40~l:46~a:3923250,205 lbs
Paul Millsap,35,02/10/85,"Monroe, LA",Louisiana Tech,13,a9c367e6c01d7822acb9e11a595abd7e,,https://a.espncdn.com/i/headshots/nba/players/full/3015.png,"6' 7""",3015,4,Paul Millsap,PF,"$30,350,000",denver-nuggets,s:40~l:46~a:3015,257 lbs
Torrey Craig,29,12/19/90,"Columbia, SC",USC Upstate,2,91a15f7d0a24cb150c4b0bb2ca44b791,B,https://a.espncdn.com/i/headshots/nba/players/full/2528693.png,"6' 7""",2528693,3,Torrey Craig,SF,"$2,000,000",denver-nuggets,s:40~l:46~a:2528693,221 lbs
Troy Daniels,28,07/15/91,"Roanoke, VA",Virginia Commonwealth,6,eab1eddaca651903f19a560cb80f6d02,,https://a.espncdn.com/i/headshots/nba/players/full/2489530.png,"6' 4""",2489530,30,Troy Daniels,SG,"$384,541",denver-nuggets,s:40~l:46~a:2489530,205 lbs
Vlatko Cancar,22,04/10/97,Slovenia,,0,eacea5f7c7fee0f06a31349553c9bae7,,https://a.espncdn.com/i/headshots/nba/players/full/4230557.png,"6' 8""",4230557,31,Vlatko Cancar,SF,"$898,310",denver-nuggets,s:40~l:46~a:4230557,236 lbs
Will Barton,29,01/06/91,"Baltimore, MD",Memphis,7,e8c90318261e5c78f07ab666de9c1ae0,,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,"6' 5""",6579,5,Will Barton,SF,"$12,776,786",denver-nuggets,s:40~l:46~a:6579,181 lbs
Evan Turner,31,10/27/88,"Chicago, IL",Ohio State,9,ab9d5a47f74411339afc31a607897a3b,L,https://a.espncdn.com/i/headshots/nba/players/full/4239.png,"6' 6""",4239,1,Evan Turner,SG,"$18,606,556",minnesota-timberwolves,s:40~l:46~a:4239,220 lbs
Jacob Evans,22,06/18/97,"Jacksonville, NC",Cincinnati,1,5a6af35880410290065f67ccf45594b2,,https://a.espncdn.com/i/headshots/nba/players/full/3934621.png,"6' 4""",3934621,10,Jacob Evans,SG,"$1,925,880",minnesota-timberwolves,s:40~l:46~a:3934621,210 lbs
Jake Layman,26,03/07/94,"Norwood, MA",Maryland,3,1a2ccb0dbcce546d7b4a69818851c7d1,,https://a.espncdn.com/i/headshots/nba/players/full/2982268.png,"6' 8""",2982268,10,Jake Layman,SF,"$3,581,986",minnesota-timberwolves,s:40~l:46~a:2982268,209 lbs
James Johnson,33,02/20/87,"Cheyenne, WY",Wake Forest,10,f670d8691536fbd40fb3f09e48429437,,https://a.espncdn.com/i/headshots/nba/players/full/3999.png,"6' 7""",3999,16,James Johnson,PF,"$15,349,400",minnesota-timberwolves,s:40~l:46~a:3999,240 lbs
Jarred Vanderbilt,20,04/03/99,"Houston, TX",Kentucky,1,888ccde398d46ef8c697d6a4ce158f87,B,https://a.espncdn.com/i/headshots/nba/players/full/4278077.png,"6' 9""",4278077,3,Jarred Vanderbilt,PF,"$1,416,852",minnesota-timberwolves,s:40~l:46~a:4278077,214 lbs
Jarrett Culver,21,02/20/99,"Dallas, TX",Texas Tech,0,343415f5ba4d54328c23a0de18ca5855,,https://a.espncdn.com/i/headshots/nba/players/full/4277928.png,"6' 6""",4277928,23,Jarrett Culver,SG,"$5,813,640",minnesota-timberwolves,s:40~l:46~a:4277928,195 lbs
Jaylen Nowell,20,04/09/99,"Seattle, WA",Washington,0,e2bca5e9c0ecb5334f6c95e33d937777,,https://a.espncdn.com/i/headshots/nba/players/full/4278541.png,"6' 4""",4278541,4,Jaylen Nowell,SG,"$1,400,000",minnesota-timberwolves,s:40~l:46~a:4278541,201 lbs
Jordan McLaughlin,23,04/09/96,"Pasadena, CA",USC,0,e1d2e36a3b3fce76d98e476fabd4add9,,https://a.espncdn.com/i/headshots/nba/players/full/3134916.png,"5' 11""",3134916,6,Jordan McLaughlin,PG,0,minnesota-timberwolves,s:40~l:46~a:3134916,185 lbs
Josh Okogie,21,09/01/98,Nigeria,Georgia Tech,1,d48af5178b3f1f26ad6b688b2de84fb4,,https://a.espncdn.com/i/headshots/nba/players/full/4065663.png,"6' 4""",4065663,20,Josh Okogie,SF,"$2,530,680",minnesota-timberwolves,s:40~l:46~a:4065663,213 lbs
Juan Hernangomez,24,09/28/95,Spain,,3,bb4390fb76cd2f8189cf158d98d39ad3,,https://a.espncdn.com/i/headshots/nba/players/full/4017839.png,"6' 9""",4017839,41,Juan Hernangomez,PF,"$3,321,030",minnesota-timberwolves,s:40~l:46~a:4017839,214 lbs
Kelan Martin,24,08/03/95,"Louisville, KY",Butler,0,dd4b50349e3eadf8ca8c1862aa4d2da1,,https://a.espncdn.com/i/headshots/nba/players/full/3133596.png,"6' 5""",3133596,30,Kelan Martin,SF,0,minnesota-timberwolves,s:40~l:46~a:3133596,230 lbs
Malik Beasley,23,11/26/96,"Atlanta, GA",Florida State,3,4e963496bb602e6e6db0b0b2da819023,,https://a.espncdn.com/i/headshots/nba/players/full/3907822.png,"6' 4""",3907822,5,Malik Beasley,SG,"$2,731,714",minnesota-timberwolves,s:40~l:46~a:3907822,187 lbs
Naz Reid,20,08/26/99,"Asbury Park, NJ",LSU,0,f8d497e7586c2aa74da13af638ca26e1,,https://a.espncdn.com/i/headshots/nba/players/full/4396971.png,"6' 9""",4396971,11,Naz Reid,C,"$898,310",minnesota-timberwolves,s:40~l:46~a:4396971,264 lbs
Omari Spellman,22,07/21/97,"Cleveland, OH",Villanova,1,7cee5c4a7e54efc730aaa8b4c87ce8e0,,https://a.espncdn.com/i/headshots/nba/players/full/4065836.png,"6' 8""",4065836,14,Omari Spellman,PF,"$1,897,800",minnesota-timberwolves,s:40~l:46~a:4065836,245 lbs
Abdel Nader,26,09/25/93,,Iowa State,2,0046bb98c4e9bd5b878ea3a3f336c411,,https://a.espncdn.com/i/headshots/nba/players/full/2595435.png,"6' 5""",2595435,11,Abdel Nader,SF,"$1,618,520",oklahoma-city-thunder,s:40~l:46~a:2595435,225 lbs
Andre Roberson,28,12/04/91,"Las Cruces, NM",Colorado,5,0371ff0d488c953214ec9750b12d9357,,https://a.espncdn.com/i/headshots/nba/players/full/2530596.png,"6' 7""",2530596,21,Andre Roberson,SG,"$10,740,740",oklahoma-city-thunder,s:40~l:46~a:2530596,210 lbs
Chris Paul,34,05/06/85,"Winston-salem, NC",Wake Forest,14,63c7648a60bac799d355f7f1d43f3a55,B,https://a.espncdn.com/i/headshots/nba/players/full/2779.png,"6' 1""",2779,3,Chris Paul,PG,"$38,506,482",oklahoma-city-thunder,s:40~l:46~a:2779,175 lbs
Danilo Gallinari,31,08/08/88,Italy,,10,fe07bfed3cf351431057d0b211220b4c,,https://a.espncdn.com/i/headshots/nba/players/full/3428.png,"6' 10""",3428,8,Danilo Gallinari,PF,"$22,615,559",oklahoma-city-thunder,s:40~l:46~a:3428,233 lbs
Darius Bazley,19,06/12/00,"Boston, MA",,0,dc51779c0f1a03c8f807c7916c852c77,,https://a.espncdn.com/i/headshots/nba/players/full/4423545.png,"6' 8""",4423545,7,Darius Bazley,SF,"$2,284,800",oklahoma-city-thunder,s:40~l:46~a:4423545,208 lbs
Dennis Schroder,26,09/15/93,Germany,,6,ed50e972a95d6b5c3fcd0d75616d1159,,https://a.espncdn.com/i/headshots/nba/players/full/3032979.png,"6' 1""",3032979,17,Dennis Schroder,PG,"$15,500,000",oklahoma-city-thunder,s:40~l:46~a:3032979,172 lbs
Deonte Burton,26,01/31/94,"Milwaukee, WI",Iowa State,1,e260d39f6e5472285f5f968d767460eb,,https://a.espncdn.com/i/headshots/nba/players/full/3059358.png,"6' 4""",3059358,30,Deonte Burton,SG,"$1,416,852",oklahoma-city-thunder,s:40~l:46~a:3059358,240 lbs
Hamidou Diallo,21,07/31/98,"Queens, NY",Kentucky,1,4d118512df3316dab2b668efb4119ecb,,https://a.espncdn.com/i/headshots/nba/players/full/4080610.png,"6' 5""",4080610,6,Hamidou Diallo,SG,"$1,416,852",oklahoma-city-thunder,s:40~l:46~a:4080610,202 lbs
Isaiah Roby,22,02/03/98,"Dixon, IL",Nebraska,0,5ca5512744c745602c21fd80b365d7ab,,https://a.espncdn.com/i/headshots/nba/players/full/4066392.png,"6' 8""",4066392,22,Isaiah Roby,SF,"$1,500,000",oklahoma-city-thunder,s:40~l:46~a:4066392,230 lbs
Kevin Hervey,23,07/09/96,"Dallas, TX",Texas-Arlington,0,1fac07b517c3c22f023e5561a0153ebf,,https://a.espncdn.com/i/headshots/nba/players/full/3143565.png,"6' 9""",3143565,15,Kevin Hervey,PF,,oklahoma-city-thunder,s:40~l:46~a:3143565,230 lbs
Luguentz Dort,20,04/19/99,Canada,Arizona State,0,7f199b6758d7790d458c29e62293032b,,https://a.espncdn.com/i/headshots/nba/players/full/4397020.png,"6' 3""",4397020,5,Luguentz Dort,SG,0,oklahoma-city-thunder,s:40~l:46~a:4397020,215 lbs
Mike Muscala,28,07/01/91,,Bucknell,6,a288cccb5f3ee54ea843741c1a17e3ad,,https://a.espncdn.com/i/headshots/nba/players/full/2490089.png,"6' 10""",2490089,33,Mike Muscala,PF,"$2,028,594",oklahoma-city-thunder,s:40~l:46~a:2490089,240 lbs
Nerlens Noel,25,04/10/94,"Malden, MA",Kentucky,5,e5b55e3dff2c1cd1e3ef7ce77ef21c62,,https://a.espncdn.com/i/headshots/nba/players/full/2991280.png,"6' 10""",2991280,9,Nerlens Noel,C,"$1,620,564",oklahoma-city-thunder,s:40~l:46~a:2991280,220 lbs
Steven Adams,26,07/20/93,New Zealand,Pittsburgh,6,1173a08695c4a53b2b283a646057f63f,,https://a.espncdn.com/i/headshots/nba/players/full/2991235.png,"6' 11""",2991235,12,Steven Adams,C,"$25,842,697",oklahoma-city-thunder,s:40~l:46~a:2991235,265 lbs
Terrance Ferguson,21,05/17/98,"Tulsa, OK",,2,405e1db7733f430eabd42b2e10dc2773,,https://a.espncdn.com/i/headshots/nba/players/full/4230546.png,"6' 6""",4230546,23,Terrance Ferguson,SF,"$2,475,840",oklahoma-city-thunder,s:40~l:46~a:4230546,190 lbs
Anfernee Simons,20,06/08/99,"Longwood, FL",,1,95170b60db18eac2dca06cbf4bc24884,L,https://a.espncdn.com/i/headshots/nba/players/full/4351851.png,"6' 3""",4351851,1,Anfernee Simons,SG,"$2,149,560",portland-trail-blazers,s:40~l:46~a:4351851,181 lbs
CJ McCollum,28,09/19/91,"Canton, OH",Lehigh,6,650bab3db658cba4a596044c1e1fa8c0,B,https://a.espncdn.com/i/headshots/nba/players/full/2490149.png,"6' 3""",2490149,3,CJ McCollum,SG,"$27,556,959",portland-trail-blazers,s:40~l:46~a:2490149,190 lbs
Caleb Swanigan,22,04/18/97,"Indianapolis, IN",Purdue,2,abc27b57c122c30a9a7d4f257627e376,,https://a.espncdn.com/i/headshots/nba/players/full/3906671.png,"6' 9""",3906671,50,Caleb Swanigan,PF,"$2,033,160",portland-trail-blazers,s:40~l:46~a:3906671,260 lbs
Carmelo Anthony,35,05/29/84,"New York, NY",Syracuse,16,db501da06d65c25837a12cbe8e0f5fba,,https://a.espncdn.com/i/headshots/nba/players/full/1975.png,"6' 8""",1975,00,Carmelo Anthony,PF,"$1,364,204",portland-trail-blazers,s:40~l:46~a:1975,238 lbs
Damian Lillard,29,07/15/90,"Oakland, CA",Weber State,7,c6bdd0b0217620899b411ca3540f64f4,,https://a.espncdn.com/i/headshots/nba/players/full/6606.png,"6' 2""",6606,0,Damian Lillard,PG,"$29,802,321",portland-trail-blazers,s:40~l:46~a:6606,195 lbs
Hassan Whiteside,30,06/13/89,"Gastonia, NC",Marshall,7,6fb93b5cd64c61b951c33d4442845c3a,,https://a.espncdn.com/i/headshots/nba/players/full/4262.png,"7' 0""",4262,21,Hassan Whiteside,C,"$27,093,017",portland-trail-blazers,s:40~l:46~a:4262,265 lbs
Jaylen Hoard,20,03/30/99,France,Wake Forest,0,f5dad07d18599a010bae8e70bdef9cd0,,https://a.espncdn.com/i/headshots/nba/players/full/4395688.png,"6' 8""",4395688,6,Jaylen Hoard,SF,0,portland-trail-blazers,s:40~l:46~a:4395688,216 lbs
Jusuf Nurkic,25,08/23/94,,,5,f8a22884a6a539a49d691cbb729288c9,,https://a.espncdn.com/i/headshots/nba/players/full/3102530.png,"7' 0""",3102530,27,Jusuf Nurkic,C,"$13,125,000",portland-trail-blazers,s:40~l:46~a:3102530,290 lbs
Mario Hezonja,25,02/25/95,Croatia,,4,e8230e3bfde38350fbcdbd42bdbad4b2,,https://a.espncdn.com/i/headshots/nba/players/full/2995706.png,"6' 8""",2995706,44,Mario Hezonja,SF,"$1,737,145",portland-trail-blazers,s:40~l:46~a:2995706,220 lbs
Moses Brown,20,10/13/99,,UCLA,0,fda5f791c73e010f8810bebc2627680b,,https://a.espncdn.com/i/headshots/nba/players/full/4397126.png,"7' 2""",4397126,4,Moses Brown,C,0,portland-trail-blazers,s:40~l:46~a:4397126,245 lbs
Nassir Little,20,02/11/00,"Pensacola, FL",North Carolina,0,61b001c112dfd565f73068d21db8c7c2,,https://a.espncdn.com/i/headshots/nba/players/full/4395652.png,"6' 5""",4395652,9,Nassir Little,SF,"$2,105,520",portland-trail-blazers,s:40~l:46~a:4395652,220 lbs
Rodney Hood,27,10/20/92,"Meridian, MS",Duke,5,119e04248dce82dbfd35c727c2fa9f41,,https://a.espncdn.com/i/headshots/nba/players/full/2581177.png,"6' 8""",2581177,5,Rodney Hood,SF,"$5,718,000",portland-trail-blazers,s:40~l:46~a:2581177,208 lbs
Trevor Ariza,34,06/30/85,"Miami, FL",UCLA,15,60b70b192f0ace9fc73c119a06adc631,,https://a.espncdn.com/i/headshots/nba/players/full/2426.png,"6' 8""",2426,8,Trevor Ariza,SF,"$12,195,122",portland-trail-blazers,s:40~l:46~a:2426,215 lbs
Wenyen Gabriel,22,03/26/97,Sudan,Kentucky,0,18e4d930159d3ccd1ad30c41b0236afb,,https://a.espncdn.com/i/headshots/nba/players/full/4066264.png,"6' 9""",4066264,35,Wenyen Gabriel,PF,"$1,445,697",portland-trail-blazers,s:40~l:46~a:4066264,205 lbs
Zach Collins,22,11/19/97,"North Las Vegas, NV",Gonzaga,2,c68386fb23ff62e4b2b03f8843a3f35c,,https://a.espncdn.com/i/headshots/nba/players/full/4066650.png,"6' 11""",4066650,33,Zach Collins,PF,"$4,240,200",portland-trail-blazers,s:40~l:46~a:4066650,250 lbs
Bojan Bogdanovic,30,04/18/89,Yugoslavia,,5,b5bd6896a98efac1165e32596f78e8ff,,https://a.espncdn.com/i/headshots/nba/players/full/3593.png,"6' 8""",3593,44,Bojan Bogdanovic,SF,"$17,000,000",utah-jazz,s:40~l:46~a:3593,226 lbs
Donovan Mitchell,23,09/07/96,USA,Louisville,2,6482ece5f90392e2ffdd13901fdd3a49,,https://a.espncdn.com/i/headshots/nba/players/full/3908809.png,"6' 1""",3908809,45,Donovan Mitchell,SG,"$3,635,760",utah-jazz,s:40~l:46~a:3908809,215 lbs
Ed Davis,30,06/05/89,"Washington, DC",North Carolina,9,8ce540bada41ea4956a540bb079933aa,,https://a.espncdn.com/i/headshots/nba/players/full/4259.png,"6' 9""",4259,17,Ed Davis,C,"$4,767,000",utah-jazz,s:40~l:46~a:4259,218 lbs
Emmanuel Mudiay,24,03/05/96,Congo,,4,9337cd1180d021efdd5df9ea80cff30c,,https://a.espncdn.com/i/headshots/nba/players/full/3892818.png,"6' 3""",3892818,15,Emmanuel Mudiay,PG,"$1,620,564",utah-jazz,s:40~l:46~a:3892818,200 lbs
Georges Niang,26,06/17/93,"Lawrence, MA",Iowa State,3,fc22b9ec32bd07ebe8036c89ddfb8f11,,https://a.espncdn.com/i/headshots/nba/players/full/2990969.png,"6' 7""",2990969,31,Georges Niang,SF,"$1,645,357",utah-jazz,s:40~l:46~a:2990969,230 lbs
Jarrell Brantley,23,06/07/96,"Charleston, SC",Charleston,0,1f4cc7e328a050d4680bbcc103609733,,https://a.espncdn.com/i/headshots/nba/players/full/3912292.png,"6' 5""",3912292,5,Jarrell Brantley,PF,0,utah-jazz,s:40~l:46~a:3912292,250 lbs
Joe Ingles,32,10/02/87,Australia,,5,110a16d50535c1e01e1efc9a7a080732,R,https://a.espncdn.com/i/headshots/nba/players/full/2968436.png,"6' 7""",2968436,2,Joe Ingles,SG,"$11,954,546",utah-jazz,s:40~l:46~a:2968436,220 lbs
Jordan Clarkson,27,06/07/92,"Tampa, FL",Missouri,5,e50b7c1f0792372fd2b9ce80188f029f,,https://a.espncdn.com/i/headshots/nba/players/full/2528426.png,"6' 4""",2528426,00,Jordan Clarkson,PG,"$13,437,500",utah-jazz,s:40~l:46~a:2528426,192 lbs
